--- Startup times for process: Primary (or UI client) ---

times in msec
 clock   self+sourced   self:  sourced script
 clock   elapsed:              other lines
010.809  000.045  000.045: require('fidget.health')
010.811  000.066  000.021: require('fidget.options')
010.817  000.157  000.033: require('fidget.progress.display')
010.917  000.061  000.061: require('fidget.logger')
011.224  000.121  000.121: require('vim.lsp.log')
011.694  000.467  000.467: require('vim.lsp.protocol')
011.901  000.204  000.204: require('vim.lsp.util')
012.332  000.058  000.058: require('vim.lsp.sync')
012.337  000.433  000.375: require('vim.lsp._changetracking')
012.403  000.027  000.027: require('vim.lsp._transport')
012.414  000.075  000.049: require('vim.lsp.rpc')
012.452  001.534  000.233: require('vim.lsp')
012.558  000.047  000.047: require('vim.lsp.completion')
012.588  000.134  000.087: require('vim.lsp.handlers')
012.591  001.774  000.045: require('fidget.progress.lsp')
012.691  000.027  000.027: require('fidget.poll')
012.693  000.053  000.026: require('fidget.notification.model')
012.733  000.039  000.039: require('fidget.notification.window')
012.763  000.029  000.029: require('fidget.notification.view')
012.771  000.158  000.037: require('fidget.notification')
012.773  000.181  000.022: require('fidget.progress.handle')
012.813  002.187  000.075: require('fidget.progress')
012.874  000.059  000.059: require('fidget.commands')
012.907  000.017  000.017: require('fidget.integration.nvim-tree')
012.937  000.029  000.029: require('fidget.integration.xcodebuild-nvim')
012.939  000.064  000.018: require('fidget.integration')
012.950  002.681  000.372: require('fidget')
013.183  000.091  000.091: require('lspconfig.util')
013.194  000.136  000.045: sourcing /home/tommy/.local/share/nvim/lazy/nvim-lspconfig/plugin/lspconfig.lua
013.197  000.151  000.015: sourcing nvim_exec2() called at /home/tommy/.config/nvim/init.lua:0
013.202  000.002  000.002: sourcing nvim_exec2() called at /home/tommy/.config/nvim/init.lua:0
013.208  000.001  000.001: sourcing nvim_exec2() called at /home/tommy/.config/nvim/init.lua:0
013.232  000.001  000.001: sourcing nvim_exec2() called at /home/tommy/.config/nvim/init.lua:0
013.235  000.000  000.000: sourcing nvim_exec2() called at /home/tommy/.config/nvim/init.lua:0
013.310  000.001  000.001: sourcing nvim_exec2() called at /home/tommy/.config/nvim/init.lua:0
013.314  000.000  000.000: sourcing nvim_exec2() called at /home/tommy/.config/nvim/init.lua:0
013.672  000.082  000.082: require('mason-lspconfig.settings')
013.676  000.306  000.225: require('mason-lspconfig')
013.921  000.192  000.192: require('mason-core.async')
014.127  000.104  000.104: require('mason-core.async.control')
014.235  000.106  000.106: require('mason-core.result')
014.395  000.042  000.042: require('mason-core.async.uv')
014.399  000.163  000.121: require('mason-core.fs')
014.413  000.489  000.117: require('mason-registry.installer')
014.735  000.118  000.118: require('mason-core.optional')
015.168  000.208  000.208: require('mason-core.process')
015.367  000.196  000.196: require('mason-core.spawn')
015.372  000.498  000.094: require('mason-core.installer.managers.powershell')
015.414  000.041  000.041: require('mason.version')
015.416  000.678  000.140: require('mason-core.fetch')
015.492  000.075  000.075: require('mason-core.providers')
016.059  000.202  000.202: require('mason-core.purl')
016.067  000.381  000.180: require('mason-core.package.AbstractPackage')
017.055  000.268  000.268: require('mason-core.installer.compiler.expr')
017.066  000.587  000.320: require('mason-core.installer.compiler.link')
017.812  000.113  000.113: require('mason-core.installer.context.InstallContextCwd')
017.944  000.129  000.129: require('mason-core.installer.context.InstallContextFs')
018.029  000.083  000.083: require('mason-core.installer.context.InstallContextSpawn')
018.182  000.151  000.151: require('mason-core.receipt')
018.206  000.745  000.268: require('mason-core.installer.context')
018.207  000.806  000.061: require('mason-core.installer')
018.224  001.047  000.241: require('mason-core.installer.managers.std')
018.226  001.159  000.112: require('mason-core.installer.compiler.schemas')
018.333  000.106  000.106: require('mason-core.installer.compiler.util')
018.345  002.094  000.241: require('mason-core.installer.compiler')
018.521  000.174  000.174: require('mason-core.installer.linker')
018.524  002.456  000.188: require('mason-core.installer.InstallRunner')
018.657  000.132  000.132: require('mason-core.installer.UninstallRunner')
018.664  003.109  000.140: require('mason-core.package')
018.668  003.175  000.066: require('mason-registry.sources.util')
018.680  004.215  000.169: require('mason-registry.sources.github')
021.199  000.008  000.008: require('vim.F')
021.566  000.195  000.195: require('mason-lspconfig.mappings')
021.580  000.378  000.183: require('mason-lspconfig.features.automatic_enable')
026.830  000.096  000.096: require('mason-lspconfig.notify')
026.856  000.547  000.451: require('mason-lspconfig.api.command')
027.180  000.004  000.004: sourcing nvim_exec2() called at /home/tommy/.config/nvim/init.lua:0
027.186  000.001  000.001: sourcing nvim_exec2() called at /home/tommy/.config/nvim/init.lua:0
027.392  000.173  000.173: sourcing /home/tommy/.local/share/nvim/lazy/telescope.nvim/plugin/telescope.lua
027.395  000.188  000.015: sourcing nvim_exec2() called at /home/tommy/.config/nvim/init.lua:0
027.399  000.001  000.001: sourcing nvim_exec2() called at /home/tommy/.config/nvim/init.lua:0
027.404  000.001  000.001: sourcing nvim_exec2() called at /home/tommy/.config/nvim/init.lua:0
027.414  000.000  000.000: sourcing nvim_exec2() called at /home/tommy/.config/nvim/init.lua:0
027.418  000.000  000.000: sourcing nvim_exec2() called at /home/tommy/.config/nvim/init.lua:0
027.769  000.066  000.066: require('auto-session.logger')
027.782  000.174  000.107: require('auto-session.lib')
027.840  000.057  000.057: require('auto-session.config')
027.854  000.409  000.179: require('auto-session')
028.344  000.066  000.066: require('auto-session.autocmds')
028.434  000.039  000.039: require('auto-session.pickers.telescope')
028.508  000.035  000.035: require('telescope._extensions')
028.511  000.073  000.038: require('telescope')
028.578  000.066  000.066: require('telescope._extensions.session-lens')
028.893  000.069  000.069: require('plenary.bit')
028.937  000.043  000.043: require('plenary.functional')
028.963  000.233  000.121: require('plenary.path')
028.978  000.329  000.096: require('plenary.strings')
029.011  000.032  000.032: require('telescope.deprecated')
029.199  000.088  000.088: require('plenary.log')
029.281  000.214  000.126: require('telescope.log')
029.530  000.096  000.096: require('plenary.compat')
029.547  000.194  000.098: require('plenary.job')
029.641  000.093  000.093: require('telescope.state')
029.664  000.382  000.094: require('telescope.utils')
029.680  000.668  000.073: require('telescope.sorters')
031.752  003.173  002.144: require('telescope.config')
031.917  000.003  000.003: sourcing nvim_exec2() called at /home/tommy/.config/nvim/init.lua:0
031.923  000.001  000.001: sourcing nvim_exec2() called at /home/tommy/.config/nvim/init.lua:0
032.792  000.691  000.691: require('vim.filetype')
033.066  000.017  000.017: require('luasnip.util.types')
033.069  000.042  000.025: require('luasnip.util.ext_opts')
033.134  000.014  000.014: require('luasnip.util.lazy_table')
033.153  000.018  000.018: require('luasnip.extras.filetype_functions')
033.160  000.071  000.038: require('luasnip.default_config')
033.162  000.092  000.021: require('luasnip.session')
033.163  000.291  000.157: require('luasnip.config')
033.725  000.024  000.024: require('luasnip.util.vimversion')
033.729  000.073  000.049: require('luasnip.util.util')
033.780  000.016  000.016: require('luasnip.nodes.key_indexer')
033.803  000.022  000.022: require('luasnip.util.feedkeys')
033.806  000.075  000.037: require('luasnip.nodes.util')
033.859  000.021  000.021: require('luasnip.session.snippet_collection.source')
033.876  000.016  000.016: require('luasnip.util.table')
033.895  000.018  000.018: require('luasnip.util.auto_table')
033.899  000.093  000.038: require('luasnip.session.snippet_collection')
033.973  000.023  000.023: require('luasnip.util.select')
033.991  000.017  000.017: require('luasnip.util.time')
034.541  000.620  000.580: require('luasnip.util._builtin_vars')
034.629  000.729  000.109: require('luasnip.util.environ')
034.659  000.029  000.029: require('luasnip.util.extend_decorator')
034.762  000.059  000.059: require('luasnip.util.path')
034.842  000.035  000.035: require('luasnip.util.log')
034.845  000.082  000.047: require('luasnip.loaders.util')
034.865  000.020  000.020: require('luasnip.loaders.data')
034.926  000.060  000.060: require('luasnip.loaders.fs_watchers')
034.928  000.268  000.048: require('luasnip.loaders')
034.943  001.777  000.510: require('luasnip')
034.955  002.887  000.129: sourcing /home/tommy/.local/share/nvim/lazy/LuaSnip/plugin/luasnip.lua
034.958  002.902  000.015: sourcing nvim_exec2() called at /home/tommy/.config/nvim/init.lua:0
034.992  000.016  000.016: sourcing /home/tommy/.local/share/nvim/lazy/LuaSnip/plugin/luasnip.vim
034.994  000.031  000.014: sourcing nvim_exec2() called at /home/tommy/.config/nvim/init.lua:0
034.997  000.001  000.001: sourcing nvim_exec2() called at /home/tommy/.config/nvim/init.lua:0
035.011  000.001  000.001: sourcing nvim_exec2() called at /home/tommy/.config/nvim/init.lua:0
035.064  000.001  000.001: sourcing nvim_exec2() called at /home/tommy/.config/nvim/init.lua:0
035.068  000.000  000.000: sourcing nvim_exec2() called at /home/tommy/.config/nvim/init.lua:0
035.164  000.001  000.001: sourcing nvim_exec2() called at /home/tommy/.config/nvim/init.lua:0
035.167  000.000  000.000: sourcing nvim_exec2() called at /home/tommy/.config/nvim/init.lua:0
035.254  000.001  000.001: sourcing nvim_exec2() called at /home/tommy/.config/nvim/init.lua:0
035.257  000.000  000.000: sourcing nvim_exec2() called at /home/tommy/.config/nvim/init.lua:0
035.362  000.001  000.001: sourcing nvim_exec2() called at /home/tommy/.config/nvim/init.lua:0
035.365  000.000  000.000: sourcing nvim_exec2() called at /home/tommy/.config/nvim/init.lua:0
035.502  000.001  000.001: sourcing nvim_exec2() called at /home/tommy/.config/nvim/init.lua:0
035.506  000.000  000.000: sourcing nvim_exec2() called at /home/tommy/.config/nvim/init.lua:0
035.590  000.030  000.030: require('cmp.utils.api')
035.648  000.022  000.022: require('cmp.types.cmp')
035.702  000.027  000.027: require('cmp.utils.misc')
035.733  000.084  000.057: require('cmp.types.lsp')
035.749  000.015  000.015: require('cmp.types.vim')
035.750  000.159  000.038: require('cmp.types')
035.788  000.037  000.037: require('cmp.utils.highlight')
035.824  000.016  000.016: require('cmp.utils.debug')
035.827  000.039  000.023: require('cmp.utils.autocmd')
036.017  000.004  000.004: sourcing nvim_exec2() called at /home/tommy/.local/share/nvim/lazy/nvim-cmp/plugin/cmp.lua:0
036.018  000.488  000.219: sourcing /home/tommy/.local/share/nvim/lazy/nvim-cmp/plugin/cmp.lua
036.020  000.500  000.012: sourcing nvim_exec2() called at /home/tommy/.config/nvim/init.lua:0
036.024  000.001  000.001: sourcing nvim_exec2() called at /home/tommy/.config/nvim/init.lua:0
036.029  000.000  000.000: sourcing nvim_exec2() called at /home/tommy/.config/nvim/init.lua:0
036.216  000.001  000.001: sourcing nvim_exec2() called at /home/tommy/.config/nvim/init.lua:0
036.219  000.000  000.000: sourcing nvim_exec2() called at /home/tommy/.config/nvim/init.lua:0
036.546  000.174  000.174: sourcing /home/tommy/.local/share/nvim/lazy/auto-pairs/plugin/auto-pairs.vim
036.547  000.188  000.013: sourcing nvim_exec2() called at /home/tommy/.config/nvim/init.lua:0
036.551  000.001  000.001: sourcing nvim_exec2() called at /home/tommy/.config/nvim/init.lua:0
036.555  000.000  000.000: sourcing nvim_exec2() called at /home/tommy/.config/nvim/init.lua:0
036.682  000.001  000.001: sourcing nvim_exec2() called at /home/tommy/.config/nvim/init.lua:0
036.685  000.000  000.000: sourcing nvim_exec2() called at /home/tommy/.config/nvim/init.lua:0
036.958  000.139  000.139: sourcing /home/tommy/.local/share/nvim/lazy/conflict-marker.vim/plugin/conflict_marker.vim
036.960  000.151  000.013: sourcing nvim_exec2() called at /home/tommy/.config/nvim/init.lua:0
036.964  000.001  000.001: sourcing nvim_exec2() called at /home/tommy/.config/nvim/init.lua:0
036.968  000.000  000.000: sourcing nvim_exec2() called at /home/tommy/.config/nvim/init.lua:0
037.311  000.024  000.024: require('Comment.config')
037.408  000.062  000.062: require('Comment.ft')
037.411  000.098  000.036: require('Comment.utils')
037.436  000.024  000.024: require('Comment.opfunc')
037.455  000.019  000.019: require('Comment.extra')
037.457  000.328  000.164: require('Comment.api')
037.543  000.438  000.110: sourcing /home/tommy/.local/share/nvim/lazy/Comment.nvim/plugin/Comment.lua
037.545  000.450  000.012: sourcing nvim_exec2() called at /home/tommy/.config/nvim/init.lua:0
037.549  000.001  000.001: sourcing nvim_exec2() called at /home/tommy/.config/nvim/init.lua:0
037.555  000.001  000.001: sourcing nvim_exec2() called at /home/tommy/.config/nvim/init.lua:0
037.846  000.213  000.213: sourcing /home/tommy/.local/share/nvim/lazy/vim-sleuth/plugin/sleuth.vim
037.847  000.226  000.012: sourcing nvim_exec2() called at /home/tommy/.config/nvim/init.lua:0
037.857  000.001  000.001: sourcing nvim_exec2() called at /home/tommy/.config/nvim/init.lua:0
037.861  000.000  000.000: sourcing nvim_exec2() called at /home/tommy/.config/nvim/init.lua:0
038.132  000.013  000.013: sourcing /home/tommy/.local/share/nvim/lazy/nvim-web-devicons/plugin/nvim-web-devicons.vim
038.133  000.026  000.012: sourcing nvim_exec2() called at /home/tommy/.config/nvim/init.lua:0
038.137  000.001  000.001: sourcing nvim_exec2() called at /home/tommy/.config/nvim/init.lua:0
038.141  000.000  000.000: sourcing nvim_exec2() called at /home/tommy/.config/nvim/init.lua:0
038.145  000.000  000.000: sourcing nvim_exec2() called at /home/tommy/.config/nvim/init.lua:0
038.148  000.000  000.000: sourcing nvim_exec2() called at /home/tommy/.config/nvim/init.lua:0
038.260  000.037  000.037: sourcing /snap/nvim/4302/usr/share/nvim/runtime/plugin/editorconfig.lua
038.262  000.050  000.013: sourcing nvim_exec2() called at /home/tommy/.config/nvim/init.lua:0
038.351  000.076  000.076: sourcing /snap/nvim/4302/usr/share/nvim/runtime/plugin/gzip.vim
038.352  000.087  000.011: sourcing nvim_exec2() called at /home/tommy/.config/nvim/init.lua:0
038.393  000.027  000.027: sourcing /snap/nvim/4302/usr/share/nvim/runtime/plugin/man.lua
038.394  000.038  000.011: sourcing nvim_exec2() called at /home/tommy/.config/nvim/init.lua:0
038.678  000.102  000.102: sourcing /snap/nvim/4302/usr/share/nvim/runtime/pack/dist/opt/matchit/plugin/matchit.vim
038.687  000.281  000.179: sourcing /snap/nvim/4302/usr/share/nvim/runtime/plugin/matchit.vim
038.688  000.292  000.011: sourcing nvim_exec2() called at /home/tommy/.config/nvim/init.lua:0
038.802  000.087  000.087: sourcing /snap/nvim/4302/usr/share/nvim/runtime/plugin/matchparen.vim
038.803  000.098  000.010: sourcing nvim_exec2() called at /home/tommy/.config/nvim/init.lua:0
039.121  000.128  000.128: sourcing /snap/nvim/4302/usr/share/nvim/runtime/pack/dist/opt/netrw/plugin/netrwPlugin.vim
039.130  000.301  000.174: sourcing /snap/nvim/4302/usr/share/nvim/runtime/plugin/netrwPlugin.vim
039.131  000.312  000.011: sourcing nvim_exec2() called at /home/tommy/.config/nvim/init.lua:0
039.170  000.027  000.027: sourcing /snap/nvim/4302/usr/share/nvim/runtime/plugin/osc52.lua
