--- Startup times for process: Primary (or UI client) ---

times in msec
 clock   self+sourced   self:  sourced script
 clock   elapsed:              other lines
012.115  001.315  000.261: require('vim.lsp')
012.595  000.384  000.384: require('vim.lsp.completion')
012.759  000.642  000.257: require('vim.lsp.handlers')
012.777  002.035  000.050: require('fidget.progress.lsp')
013.016  000.027  000.027: require('fidget.poll')
013.019  000.077  000.050: require('fidget.notification.model')
013.058  000.038  000.038: require('fidget.notification.window')
013.088  000.029  000.029: require('fidget.notification.view')
013.094  000.231  000.088: require('fidget.notification')
013.096  000.317  000.086: require('fidget.progress.handle')
013.102  002.584  000.066: require('fidget.progress')
013.161  000.057  000.057: require('fidget.commands')
013.196  000.018  000.018: require('fidget.integration.nvim-tree')
013.215  000.018  000.018: require('fidget.integration.xcodebuild-nvim')
013.217  000.054  000.019: require('fidget.integration')
013.223  002.939  000.243: require('fidget')
013.417  000.101  000.101: require('lspconfig.util')
013.428  000.143  000.042: sourcing /home/tommy/.local/share/nvim/lazy/nvim-lspconfig/plugin/lspconfig.lua
013.446  000.173  000.030: sourcing nvim_exec2() called at /home/tommy/.config/nvim/init.lua:0
013.452  000.002  000.002: sourcing nvim_exec2() called at /home/tommy/.config/nvim/init.lua:0
013.458  000.001  000.001: sourcing nvim_exec2() called at /home/tommy/.config/nvim/init.lua:0
013.821  000.024  000.024: sourcing /home/tommy/.local/share/nvim/lazy/plenary.nvim/plugin/plenary.vim
013.824  000.039  000.015: sourcing nvim_exec2() called at /home/tommy/.config/nvim/init.lua:0
013.828  000.001  000.001: sourcing nvim_exec2() called at /home/tommy/.config/nvim/init.lua:0
013.833  000.001  000.001: sourcing nvim_exec2() called at /home/tommy/.config/nvim/init.lua:0
013.929  000.001  000.001: sourcing nvim_exec2() called at /home/tommy/.config/nvim/init.lua:0
013.933  000.001  000.001: sourcing nvim_exec2() called at /home/tommy/.config/nvim/init.lua:0
014.074  000.113  000.113: sourcing /home/tommy/.local/share/nvim/lazy/telescope.nvim/plugin/telescope.lua
014.076  000.124  000.012: sourcing nvim_exec2() called at /home/tommy/.config/nvim/init.lua:0
014.079  000.001  000.001: sourcing nvim_exec2() called at /home/tommy/.config/nvim/init.lua:0
014.083  000.000  000.000: sourcing nvim_exec2() called at /home/tommy/.config/nvim/init.lua:0
014.097  000.001  000.001: sourcing nvim_exec2() called at /home/tommy/.config/nvim/init.lua:0
014.105  000.000  000.000: sourcing nvim_exec2() called at /home/tommy/.config/nvim/init.lua:0
014.560  000.021  000.021: require('auto-session.logger')
014.569  000.076  000.055: require('auto-session.lib')
014.601  000.031  000.031: require('auto-session.config')
014.609  000.418  000.311: require('auto-session')
015.225  000.042  000.042: require('auto-session.autocmds')
015.289  000.026  000.026: require('auto-session.pickers.telescope')
015.338  000.021  000.021: require('telescope._extensions')
015.339  000.045  000.024: require('telescope')
015.392  000.052  000.052: require('telescope._extensions.session-lens')
015.546  000.023  000.023: require('plenary.bit')
015.567  000.020  000.020: require('plenary.functional')
015.588  000.122  000.078: require('plenary.path')
015.598  000.154  000.032: require('plenary.strings')
015.644  000.046  000.046: require('telescope.deprecated')
015.784  000.003  000.003: require('vim.F')
015.798  000.069  000.066: require('plenary.log')
015.832  000.132  000.063: require('telescope.log')
016.003  000.055  000.055: require('plenary.compat')
016.008  000.121  000.066: require('plenary.job')
016.051  000.042  000.042: require('telescope.state')
016.060  000.227  000.065: require('telescope.utils')
016.065  000.421  000.061: require('telescope.sorters')
017.271  001.878  001.258: require('telescope.config')
018.444  000.060  000.060: require('vim.treesitter.language')
018.484  000.037  000.037: require('vim.func')
018.516  000.029  000.029: require('vim.func._memoize')
018.539  000.248  000.123: require('vim.treesitter.query')
018.574  000.035  000.035: require('vim.treesitter._range')
018.588  000.380  000.097: require('vim.treesitter.languagetree')
018.593  000.430  000.050: require('vim.treesitter')
018.596  000.482  000.052: require('nvim-treesitter.compat')
019.994  001.290  001.290: require('nvim-treesitter.parsers')
020.041  000.044  000.044: require('nvim-treesitter.utils')
020.045  001.410  000.076: require('nvim-treesitter.ts_utils')
020.049  001.452  000.042: require('nvim-treesitter.tsrange')
020.073  000.024  000.024: require('nvim-treesitter.caching')
020.081  002.082  000.124: require('nvim-treesitter.query')
020.091  002.368  000.286: require('nvim-treesitter.configs')
020.092  002.615  000.247: require('nvim-treesitter-textobjects')
020.200  000.026  000.026: require('nvim-treesitter.info')
020.236  000.035  000.035: require('nvim-treesitter.shell_command_selectors')
020.251  000.137  000.076: require('nvim-treesitter.install')
020.272  000.020  000.020: require('nvim-treesitter.statusline')
020.299  000.026  000.026: require('nvim-treesitter.query_predicates')
020.300  000.207  000.025: require('nvim-treesitter')
020.349  000.024  000.024: require('nvim-treesitter.textobjects.shared')
020.352  000.049  000.025: require('nvim-treesitter.textobjects.select')
020.388  000.032  000.032: require('vim.iter')
020.477  000.019  000.019: require('nvim-treesitter.textobjects.attach')
020.512  000.033  000.033: require('nvim-treesitter.textobjects.repeatable_move')
020.515  000.079  000.027: require('nvim-treesitter.textobjects.move')
020.817  000.025  000.025: require('nvim-treesitter.textobjects.swap')
020.918  000.051  000.051: require('nvim-treesitter.textobjects.lsp_interop')
021.028  003.558  000.499: sourcing /home/tommy/.local/share/nvim/lazy/nvim-treesitter-textobjects/plugin/nvim-treesitter-textobjects.vim
021.031  003.575  000.016: sourcing nvim_exec2() called at /home/tommy/.config/nvim/init.lua:0
021.039  000.002  000.002: sourcing nvim_exec2() called at /home/tommy/.config/nvim/init.lua:0
021.048  000.001  000.001: sourcing nvim_exec2() called at /home/tommy/.config/nvim/init.lua:0
021.612  000.536  000.536: sourcing /home/tommy/.local/share/nvim/lazy/nvim-treesitter/plugin/nvim-treesitter.lua
021.615  000.552  000.016: sourcing nvim_exec2() called at /home/tommy/.config/nvim/init.lua:0
021.620  000.001  000.001: sourcing nvim_exec2() called at /home/tommy/.config/nvim/init.lua:0
021.627  000.001  000.001: sourcing nvim_exec2() called at /home/tommy/.config/nvim/init.lua:0
021.776  000.001  000.001: sourcing nvim_exec2() called at /home/tommy/.config/nvim/init.lua:0
